,titles,authors,goodreads links
72,"The Odds of Getting Even (Mo & Dale Mysteries, #3)",Sheila Turnage,https://www.goodreads.com/book/show/24611884-the-odds-of-getting-even
73,Moving Target,Christina Diaz Gonzalez,https://www.goodreads.com/book/show/23734473-moving-target
74,"Princess in Disguise (The Wide-Awake Princess, #4)",E.D. Baker,https://www.goodreads.com/book/show/22529357-princess-in-disguise
75,The Accidental Afterlife of Thomas Marsden,Emma Trevayne,https://www.goodreads.com/book/show/22673361-the-accidental-afterlife-of-thomas-marsden
76,"Awkward (Berrybrook Middle School, #1)",Svetlana Chmakova,https://www.goodreads.com/book/show/23657454-awkward
77,Extraordinary,Miriam Spitzer Franklin,https://www.goodreads.com/book/show/23130145-extraordinary
78,A Curious Tale of the In-Between,Lauren DeStefano,https://www.goodreads.com/book/show/20499923-a-curious-tale-of-the-in-between
79,Nooks & Crannies,Jessica  Lawson,https://www.goodreads.com/book/show/23309600-nooks-crannies
80,Last in a Long Line of Rebels,Lisa Lewis Tyre,https://www.goodreads.com/book/show/23845970-last-in-a-long-line-of-rebels
81,"A Sliver of Stardust (A Sliver of Stardust, #1)",Marissa Burt,https://www.goodreads.com/book/show/18500689-a-sliver-of-stardust
82,Flexible Wings,Veda Stamps,https://www.goodreads.com/book/show/25622589-flexible-wings
83,The Detective's Assistant,Kate Hannigan,https://www.goodreads.com/book/show/22875123-the-detective-s-assistant
84,"The Inquisitor's Mark (Eighth Day, #2)",Dianne K. Salerni,https://www.goodreads.com/book/show/22206715-the-inquisitor-s-mark
85,"The Snow Flower: A story of friendship, rivalry and survival in the High Sierras",Lorraine June Crawford,https://www.goodreads.com/book/show/25383643-the-snow-flower
86,I Am Drums,Mike Grosso,https://www.goodreads.com/book/show/21945615-i-am-drums
87,"The Mad Apprentice (The Forbidden Library, #2)",Django Wexler,https://www.goodreads.com/book/show/22504700-the-mad-apprentice
88,The Sound of Life and Everything,Krista Van Dolzer,https://www.goodreads.com/book/show/22521936-the-sound-of-life-and-everything
89,"Stolen Magic (A Tale of Two Castles, #2)",Gail Carson Levine,https://www.goodreads.com/book/show/16070918-stolen-magic
90,Unusual Chickens for the Exceptional Poultry Farmer (Unusual Chickens #1),Kelly        Jones,https://www.goodreads.com/book/show/22926534-unusual-chickens-for-the-exceptional-poultry-farmer
91,The Water and the Wild,K.E. Ormsbee,https://www.goodreads.com/book/show/22675931-the-water-and-the-wild
92,"Switch (Savvy, #3)",Ingrid Law,https://www.goodreads.com/book/show/17376583-switch
93,Wish Girl,Nikki Loftin,https://www.goodreads.com/book/show/22403130-wish-girl
94,Hoodoo,Ronald L.  Smith,https://www.goodreads.com/book/show/22096152-hoodoo
95,"The Black Reckoning (The Books of Beginning, #3)",John  Stephens,https://www.goodreads.com/book/show/16075836-the-black-reckoning
96,"The Missing Alchemist (The Young Alchemist, #1)",Caldric Blackwell,https://www.goodreads.com/book/show/24313058-the-missing-alchemist
97,Blue Birds,Caroline Starr Rose,https://www.goodreads.com/book/show/22105178-blue-birds
98,Orbiting Jupiter,Gary D. Schmidt,https://www.goodreads.com/book/show/23714521-orbiting-jupiter
99,"Sunny Side Up (Sunny, #1)",Jennifer L. Holm,https://www.goodreads.com/book/show/24612600-sunny-side-up
100,Watch the Sky,Kirsten Hubbard,https://www.goodreads.com/book/show/22875507-watch-the-sky
101,Beast Keeper,Lucy Coats,https://www.goodreads.com/book/show/22522052-beast-keeper
102,"Amanda Lester and the Pink Sugar Conspiracy (Amanda Lester, Detective, #1)",Paula Berinstein,https://www.goodreads.com/book/show/25605562-amanda-lester-and-the-pink-sugar-conspiracy
103,Krakens and Lies (Menagerie #3),Tui T. Sutherland,https://www.goodreads.com/book/show/22552513-krakens-and-lies
104,"The Shrunken Head (The Curiosity House, #1)",Lauren Oliver,https://www.goodreads.com/book/show/23277166-the-shrunken-head
105,Honey,Sarah Weeks,https://www.goodreads.com/book/show/22571253-honey
106,IA: B.O.S.S. (IA #2),John Darryl Winston,https://www.goodreads.com/book/show/26832472-ia
107,"The Jumbies (The Jumbies, #1)",Tracey Baptiste,https://www.goodreads.com/book/show/22859559-the-jumbies
108,"The Hollow Boy (Lockwood & Co., #3)",Jonathan Stroud,https://www.goodreads.com/book/show/24397043-the-hollow-boy
109,"The Dreamsnatcher (Dreamsnatcher, #1)",Abi Elphinstone,https://www.goodreads.com/book/show/23573606-the-dreamsnatcher
110,Stella by Starlight,Sharon M. Draper,https://www.goodreads.com/book/show/22546133-stella-by-starlight
111,"Amanda Lester and the Orange Crystal Crisis (Amanda Lester, Detective, #2)",Paula Berinstein,https://www.goodreads.com/book/show/25952323-amanda-lester-and-the-orange-crystal-crisis
112,"Amanda Lester and the Purple Rainbow Puzzle (Amanda Lester, Detective, #3)",Paula Berinstein,https://www.goodreads.com/book/show/27374015-amanda-lester-and-the-purple-rainbow-puzzle
113,"Upside-Down Magic (Upside-Down Magic, #1)",Sarah Mlynowski,https://www.goodreads.com/book/show/24998996-upside-down-magic
114,"The Secret Files of Fairday Morrow (Fairday Morrow, #1)",Jessica Haight,https://www.goodreads.com/book/show/18629730-the-secret-files-of-fairday-morrow
115,Ms. Rapscott's Girls,Elise Primavera,https://www.goodreads.com/book/show/20307785-ms-rapscott-s-girls
116,Dear Hank Williams,Kimberly Willis Holt,https://www.goodreads.com/book/show/22544766-dear-hank-williams
117,"I'm with Cupid (Switched at First Kiss, #1)",Anna Staniszewski,https://www.goodreads.com/book/show/22400478-i-m-with-cupid
118,Melissa,Alex  Gino,https://www.goodreads.com/book/show/24612624-melissa
119,"The Whispering Trees (The Thickety, #2)",J.A. White,https://www.goodreads.com/book/show/22583008-the-whispering-trees
120,The Seventh Most Important Thing,Shelley Pearsall,https://www.goodreads.com/book/show/19104829-the-seventh-most-important-thing
121,Zaria Fierce and the Secret of Gloomwood Forest,Keira Gillett,https://www.goodreads.com/book/show/24085920-zaria-fierce-and-the-secret-of-gloomwood-forest
122,"Ferals (Ferals, #1)",Jacob Grey,https://www.goodreads.com/book/show/22896545-ferals
123,"The Stolen Moon (Chase Garrety, #2)",Rachel Searles,https://www.goodreads.com/book/show/21469075-the-stolen-moon
124,Chasing Secrets,Gennifer Choldenko,https://www.goodreads.com/book/show/23615684-chasing-secrets
125,The Lightning Queen,Laura Resau,https://www.goodreads.com/book/show/25205301-the-lightning-queen
126,Witherwood Reform School,Obert Skye,https://www.goodreads.com/book/show/21469076-witherwood-reform-school
127,The Way to Stay in Destiny,Augusta Scattergood,https://www.goodreads.com/book/show/22323663-the-way-to-stay-in-destiny
128,The Doldrums (The Doldrums #1),Nicholas Gannon,https://www.goodreads.com/book/show/18190201-the-doldrums
129,"Arsenic for Tea (Murder Most Unladylike, #2)",Robin Stevens,https://www.goodreads.com/book/show/22549636-arsenic-for-tea
130,Cold War on Maplewood Street,Gayle Rosengren,https://www.goodreads.com/book/show/23281786-cold-war-on-maplewood-street
131,Red Butterfly,A.L. Sonnichsen,https://www.goodreads.com/book/show/21927701-red-butterfly
132,"First Class Murder (Murder Most Unladylike, #3)",Robin Stevens,https://www.goodreads.com/book/show/23548125-first-class-murder
133,The Lunch Witch,Deb Lucke,https://www.goodreads.com/book/show/22548344-the-lunch-witch
