,titles,authors,goodreads links
934,"Once Upon a Time, A Bit Earlier",Erik   Peterson,https://www.goodreads.com/book/show/32042692-once-upon-a-time-a-bit-earlier
935,War in Hagwood (The Hagwood Trilogy Book 3),Robin Jarvis,https://www.goodreads.com/book/show/28812810-war-in-hagwood
936,Snugs The Snow Bear (Snugs Series #1),Suzy  Davies,https://www.goodreads.com/book/show/33236051-snugs-the-snow-bear
937,Blink and You Die (Ruby Redfort #6),Lauren Child,https://www.goodreads.com/book/show/30133127-blink-and-you-die
938,"The Eagle, the Cave, and the Footbridge (Hamelin Stoop, #1)",Robert B.  Sloan,https://www.goodreads.com/book/show/33621283-the-eagle-the-cave-and-the-footbridge
939,Mia Lee is Wheeling Through Middle School,Melissa Shang,https://www.goodreads.com/book/show/31315388-mia-lee-is-wheeling-through-middle-school
940,"Second Twin (Legend of Rhyme, #4)",Jaime Lee Mann,https://www.goodreads.com/book/show/30330808-second-twin
941,"The Elestial (Power Stones, #1)",B.S. Barker,https://www.goodreads.com/book/show/29753206-the-elestial
942,The Gallery of Wonders (Magora #1),Marc Remus,https://www.goodreads.com/book/show/28692955-the-gallery-of-wonders
943,Terror at Bottle Creek,Watt Key,https://www.goodreads.com/book/show/25332026-terror-at-bottle-creek
944,"Stick Dog Tries to Take the Donuts (Stick Dog, #5)",Tom     Watson,https://www.goodreads.com/book/show/25742215-stick-dog-tries-to-take-the-donuts
945,"White Lies, Black Dare",Joanna Nadin,https://www.goodreads.com/book/show/26092373-white-lies-black-dare
946,Best Friends for Never,Adrienne Maria Vrettos,https://www.goodreads.com/book/show/26630195-best-friends-for-never
947,Brightwood,Tania Unsworth,https://www.goodreads.com/book/show/28110867-brightwood
948,"Waterwight (The Waterwight Series, #1)",Laurel McHargue,https://www.goodreads.com/book/show/29401094-waterwight
949,Word of Mouse,James Patterson,https://www.goodreads.com/book/show/29775375-word-of-mouse
950,"1916 (Australia's Great War, #3)",Alan Tucker,https://www.goodreads.com/book/show/29601662-1916
951,The Wishing World,Todd Fahnestock,https://www.goodreads.com/book/show/29772858-the-wishing-world
952,"You Can't Hide (Shadow House, #2)",Dan Poblocki,https://www.goodreads.com/book/show/30985898-you-can-t-hide
953,The Other Alice,Michelle Harrison,https://www.goodreads.com/book/show/30627349-the-other-alice
954,Witchlight,Jessi Zabarsky,https://www.goodreads.com/book/show/33534709-witchlight
955,EllRay Jakes Stands Tall,Sally Warner,https://www.goodreads.com/book/show/25685265-ellray-jakes-stands-tall
956,"Waylon! One Awesome Thing (Waylon!, #1)",Sara Pennypacker,https://www.goodreads.com/book/show/26031260-waylon-one-awesome-thing
957,The Secrets of Billie Bright,Susie Day,https://www.goodreads.com/book/show/26889420-the-secrets-of-billie-bright
958,Downside Up,Richard Scrimger,https://www.goodreads.com/book/show/26108978-downside-up
959,"Misfortune Annie and the Locomotive Reaper (Misfortune Annie, #1)",Gusto Dave,https://www.goodreads.com/book/show/32801736-misfortune-annie-and-the-locomotive-reaper
960,Witchy Girls: The Rise to Power,Lani Brown,https://www.goodreads.com/book/show/31336625-witchy-girls
961,"Criminal Destiny (Masterminds, #2)",Gordon Korman,https://www.goodreads.com/book/show/25741007-criminal-destiny
962,"For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds: Your Introduction to Deities, Mythical Beings, & Fantastic Creatures",Rick Riordan,https://www.goodreads.com/book/show/30313998-for-magnus-chase
963,"Emily Sparkes and the Disco Disaster (Emily Sparkes, #3)",Ruth Fitzgerald,https://www.goodreads.com/book/show/25498315-emily-sparkes-and-the-disco-disaster
964,Six Kids and a Stuffed Cat,Gary Paulsen,https://www.goodreads.com/book/show/27206506-six-kids-and-a-stuffed-cat
965,"Eden's Escape (Eden of the Lamp, #2)",M. Tara Crowl,https://www.goodreads.com/book/show/28450974-eden-s-escape
966,"Vanessa's Fashion Face-Off (Confidentially Yours, #2)",Jo Whittemore,https://www.goodreads.com/book/show/25362269-vanessa-s-fashion-face-off
967,"The Mighty Odds (The Mighty Odds, #1)",Amy Ignatow,https://www.goodreads.com/book/show/27860894-the-mighty-odds
968,A Whisper of Horses,Zillah Bethell,https://www.goodreads.com/book/show/30168102-a-whisper-of-horses
969,When the Lyrebird Calls,Kim Kane,https://www.goodreads.com/book/show/31927308-when-the-lyrebird-calls
970,A Very Good Chance,Sarah Moore Fitzgerald,https://www.goodreads.com/book/show/31708384-a-very-good-chance
971,"Brooke's Not-So-Perfect Plan (Confidentially Yours, #1)",Jo Whittemore,https://www.goodreads.com/book/show/25817208-brooke-s-not-so-perfect-plan
972,"The Circle of Lies (Hunters of Chaos, #2)",Crystal Velásquez,https://www.goodreads.com/book/show/25691913-the-circle-of-lies
973,Tally and Squill in a Sticky Situation,Abie Longstaff,https://www.goodreads.com/book/show/27864878-tally-and-squill-in-a-sticky-situation
974,"Race to the South Pole (Ranger in Time, #4)",Kate Messner,https://www.goodreads.com/book/show/26570594-race-to-the-south-pole
975,Sara Lost and Found,Virginia Castleman,https://www.goodreads.com/book/show/25691849-sara-lost-and-found
976,"Kelsey the Spy (Curious Cat Spy Club, #3)",Linda Joy Singleton,https://www.goodreads.com/book/show/26722928-kelsey-the-spy
977,"Unicorn vs. Goblins (Phoebe and Her Unicorn, #3)",Dana Simpson,https://www.goodreads.com/book/show/26071563-unicorn-vs-goblins
978,Rowan Oakwing,E.J. Clarke,https://www.goodreads.com/book/show/28463232-rowan-oakwing
979,Journey Through Ash and Smoke (Ranger in Time #5),Kate Messner,https://www.goodreads.com/book/show/30254942-journey-through-ash-and-smoke
980,"Only Living Boy #1: Prisoner of the Patchwork Planet, The",David Gallaher,https://www.goodreads.com/book/show/25664491-only-living-boy-1
981,Compass South,Hope Larson,https://www.goodreads.com/book/show/25689025-compass-south
982,"The Journey Home (Wilder Boys, #2)",Brandon Wallace,https://www.goodreads.com/book/show/25785734-the-journey-home
983,A Bandit's Tale: The Muddled Misadventures of a Pickpocket,Deborah Hopkinson,https://www.goodreads.com/book/show/25893515-a-bandit-s-tale
984,The Big Book of Mr Badger,Leigh Hobbs,https://www.goodreads.com/book/show/25362941-the-big-book-of-mr-badger
985,The Trouble with Twins,Kathryn Siebel,https://www.goodreads.com/book/show/23734476-the-trouble-with-twins
986,"The McVentures of Me, Morgan McFactoid: Hair Today, Gone Tomorrow",Mark Waxman,https://www.goodreads.com/book/show/25159429-the-mcventures-of-me-morgan-mcfactoid
987,Playing for the Devil's Fire,Phillippe Diederich,https://www.goodreads.com/book/show/25330167-playing-for-the-devil-s-fire
988,"We Built This City (The 8th Continent, #4)",Matt London,https://www.goodreads.com/book/show/25716731-we-built-this-city
989,Paris for Two,Phoebe Stone,https://www.goodreads.com/book/show/26630174-paris-for-two
990,Perijee & Me,Ross Montgomery,https://www.goodreads.com/book/show/28250881-perijee-me
991,"Horizon (Horizon, #1)",Scott Westerfeld,https://www.goodreads.com/book/show/30622633-horizon
992,The Last Monster,Ginger Garrett,https://www.goodreads.com/book/show/25937814-the-last-monster
993,Horus and the Curse of Everlasting Regret,Hannah Voskuil,https://www.goodreads.com/book/show/24755514-horus-and-the-curse-of-everlasting-regret
994,Nettie and Nellie Crook: Orphan Train Sisters,E.F. Abbott,https://www.goodreads.com/book/show/25664415-nettie-and-nellie-crook
995,Cracking Up,Samantha Bee,https://www.goodreads.com/book/show/22094929-cracking-up
996,One Half from the East,Nadia Hashimi,https://www.goodreads.com/book/show/28217813-one-half-from-the-east
997,Lockdown (Urban Outlaws #3),Peter Jay Black,https://www.goodreads.com/book/show/25663715-lockdown
998,Dear Miss Karana,Eric Elliott,https://www.goodreads.com/book/show/25685091-dear-miss-karana
999,"Doom at Grant's Tomb (Eddie Red Undercover, #3)",Marcia Wells,https://www.goodreads.com/book/show/25897801-doom-at-grant-s-tomb
1000,Desmond Pucket and the Cloverfield Junior High Carnival of Horrors (Volume 3),Mark Tatulli,https://www.goodreads.com/book/show/25785929-desmond-pucket-and-the-cloverfield-junior-high-carnival-of-horrors
1001,The Underdogs,Sara Hammel,https://www.goodreads.com/book/show/25689043-the-underdogs
1002,"Ratpunzel (Hamster Princess, #3)",Ursula Vernon,https://www.goodreads.com/book/show/28687247-ratpunzel
1003,Dragons vs. Drones,Wesley King,https://www.goodreads.com/book/show/25776253-dragons-vs-drones
1004,The Bolds to the Rescue,Julian Clary,https://www.goodreads.com/book/show/25613405-the-bolds-to-the-rescue
1005,"Waybound (The Books of Ore, #2)",Cam Baity,https://www.goodreads.com/book/show/26031135-waybound
1006,Five Times Revenge,Lindsay Eland,https://www.goodreads.com/book/show/26795356-five-times-revenge
1007,"Sit, Stay, Love",J.J. Howard,https://www.goodreads.com/book/show/25786942-sit-stay-love
1008,The Song from Somewhere Else,A.F. Harrold,https://www.goodreads.com/book/show/29785301-the-song-from-somewhere-else
1009,The Relic of Perilous Falls (Will Wilder #1),Raymond Arroyo,https://www.goodreads.com/book/show/25387463-the-relic-of-perilous-falls
1010,The Prizewinners of Piedmont Place,Bill Doyle,https://www.goodreads.com/book/show/27405344-the-prizewinners-of-piedmont-place
1011,The Bling Queen,Allison Gutknecht,https://www.goodreads.com/book/show/28954143-the-bling-queen
1012,"Skating with the Statue of Liberty (Black Radishes, #2)",Susan Lynn Meyer,https://www.goodreads.com/book/show/25903873-skating-with-the-statue-of-liberty
1013,Mouse Scouts,Sarah Dillard,https://www.goodreads.com/book/show/25387372-mouse-scouts
1014,The Infinity Year of Avalon James,Dana Middleton,https://www.goodreads.com/book/show/26102528-the-infinity-year-of-avalon-james
1015,"Dinosaur Boy Saves Mars (Dinosaur Boy, #2)",Cory Putman Oakes,https://www.goodreads.com/book/show/25679738-dinosaur-boy-saves-mars
1016,Moone Boy: The Fish Detective,Chris O'Dowd,https://www.goodreads.com/book/show/25689060-moone-boy
1017,Princess Juniper of the Anju (Princess Juniper #2),Ammi-Joan Paquette,https://www.goodreads.com/book/show/26192911-princess-juniper-of-the-anju
1018,"The Dastardly Deed (The League of Beastly Dreadfuls, #2)",Holly Grant,https://www.goodreads.com/book/show/25615119-the-dastardly-deed
1019,"The Gigantic Giant Goof-up (Buckle and Squash, #2)",Sarah Courtauld,https://www.goodreads.com/book/show/25663543-the-gigantic-giant-goof-up
1020,"To Catch a Cheat (The Great Greene Heist, #2)",Varian Johnson,https://www.goodreads.com/book/show/25582717-to-catch-a-cheat
1021,Feathered,Deborah Kerbel,https://www.goodreads.com/book/show/27180094-feathered
1022,The Doorway and the Deep,K.E. Ormsbee,https://www.goodreads.com/book/show/28645642-the-doorway-and-the-deep
1023,Nothing Up My Sleeve,Diana López,https://www.goodreads.com/book/show/26030714-nothing-up-my-sleeve
1024,Jubilee,Patricia Reilly Giff,https://www.goodreads.com/book/show/28250855-jubilee
1025,The Most Frightening Story Ever Told,Philip Kerr,https://www.goodreads.com/book/show/28186024-the-most-frightening-story-ever-told
1026,"Cats Aloft (Anton and Cecil, #3)",Lisa  Martin,https://www.goodreads.com/book/show/28110854-cats-aloft
1027,Our Teacher Is a Vampire and Other (Not) True Stories,Mary Amato,https://www.goodreads.com/book/show/26516181-our-teacher-is-a-vampire-and-other-not-true-stories
1028,Sealed with a Secret,Lisa Schroeder,https://www.goodreads.com/book/show/26630135-sealed-with-a-secret
1029,A Patron Saint for Junior Bridesmaids,Shelley Tougas,https://www.goodreads.com/book/show/27414425-a-patron-saint-for-junior-bridesmaids
1030,Stormwalker,Mike Revell,https://www.goodreads.com/book/show/26875588-stormwalker
1031,Zoe in Wonderland,Brenda Woods,https://www.goodreads.com/book/show/27876762-zoe-in-wonderland
1032,The Thing About Leftovers,C.C. Payne,https://www.goodreads.com/book/show/27272417-the-thing-about-leftovers
1033,Heart of a Dolphin,Catherine Hapka,https://www.goodreads.com/book/show/26892087-heart-of-a-dolphin
1034,Trouble the Water,Frances O'Roark Dowell,https://www.goodreads.com/book/show/27206433-trouble-the-water
1035,"Oona Finds an Egg (The Oodlethunks, Book 1)",Adele Griffin,https://www.goodreads.com/book/show/25779131-oona-finds-an-egg
1036,Isabella for Real,Margie Palatini,https://www.goodreads.com/book/show/28114566-isabella-for-real
1037,Sputnik's Guide to Life on Earth,Frank Cottrell Boyce,https://www.goodreads.com/book/show/29866662-sputnik-s-guide-to-life-on-earth
1038,"This Is All Your Fault, Cassie Parker",Terra Elan McVoy,https://www.goodreads.com/book/show/24755443-this-is-all-your-fault-cassie-parker
1039,Child of Spring,Farhana Zia,https://www.goodreads.com/book/show/26001198-child-of-spring
1040,"The Apprentice Witch (The Apprentice Witch, #1)",James  Nicol,https://www.goodreads.com/book/show/33605563-the-apprentice-witch
1041,"The Glorkian Warrior and the Mustache of Destiny (The Glorkian Warrior, 3)",James Kochalka,https://www.goodreads.com/book/show/25332006-the-glorkian-warrior-and-the-mustache-of-destiny
1042,Kabungo,Rolli,https://www.goodreads.com/book/show/25986803-kabungo
1043,"Allie, First at Last",Angela Cervantes,https://www.goodreads.com/book/show/23295987-allie-first-at-last
1044,Write This Down,Claudia Mills,https://www.goodreads.com/book/show/27414439-write-this-down
1045,Stinky Cecil in Terrarium Terror (Volume 2),Paige Braddock,https://www.goodreads.com/book/show/25785931-stinky-cecil-in-terrarium-terror
1046,Mutt's Promise,Julie Salamon,https://www.goodreads.com/book/show/25776225-mutt-s-promise
1047,"Ghosts Don't Wear Glasses (Fish Finelli, #3)",Erica Farber,https://www.goodreads.com/book/show/22675950-ghosts-don-t-wear-glasses
1048,Waiting for Augusta,Jessica  Lawson,https://www.goodreads.com/book/show/23203254-waiting-for-augusta
1049,Princess Mirror-Belle and Prince Precious Paws,Julia Donaldson,https://www.goodreads.com/book/show/25363016-princess-mirror-belle-and-prince-precious-paws
1050,"Cleo Edison Oliver, Playground Millionaire",Sundee T. Frazier,https://www.goodreads.com/book/show/25786974-cleo-edison-oliver-playground-millionaire
1051,Anne of Green Bagels,Jon Buller,https://www.goodreads.com/book/show/26114162-anne-of-green-bagels
1052,Five Days of Famous,Alyson Noel,https://www.goodreads.com/book/show/29440444-five-days-of-famous
1053,How to Avoid Extinction,Paul Acampora,https://www.goodreads.com/book/show/28697361-how-to-avoid-extinction
1054,The Wolf's Boy,Susan Williams Beckhorn,https://www.goodreads.com/book/show/26252958-the-wolf-s-boy
1055,NanoBots,Chris Gall,https://www.goodreads.com/book/show/26309382-nanobots
1056,Falling into the Dragon's Mouth,Holly Thompson,https://www.goodreads.com/book/show/25332029-falling-into-the-dragon-s-mouth
1057,"I Almost Died. Again. (My Near-Death Adventures, #2)",Alison DeCamp,https://www.goodreads.com/book/show/27209111-i-almost-died-again
1058,Empty Places,Kathy Cannon Wiechman,https://www.goodreads.com/book/show/25898617-empty-places
1059,"Night of the Living Shadows (A Speed Bump & Slingshot Misadventure, 2)",Dave Coverly,https://www.goodreads.com/book/show/27414399-night-of-the-living-shadows
1060,"Frazzled: Everyday Disasters and Impending Doom (Frazzled, #1)",Booki Vivat,https://www.goodreads.com/book/show/28259085-frazzled
1061,Jack & Louisa: Act 2,Andrew Keenan-Bolger,https://www.goodreads.com/book/show/25685311-jack-louisa
1062,"The Day the Mustache Came Back (The Mustache Series, 2)",Alan Katz,https://www.goodreads.com/book/show/26073016-the-day-the-mustache-came-back
1063,The Bad Kid,Sarah Lariviere,https://www.goodreads.com/book/show/21945610-the-bad-kid
1064,Cody and the Mysteries of the Universe,Tricia Springstubb,https://www.goodreads.com/book/show/25937832-cody-and-the-mysteries-of-the-universe
1065,Carter and the Curious Maze (Weird Stories Gone Wrong #3),Philippa Dowding,https://www.goodreads.com/book/show/27260186-carter-and-the-curious-maze
1066,Violet and the Smugglers (Violet #3),Harriet Whitehorn,https://www.goodreads.com/book/show/27221313-violet-and-the-smugglers
1067,Nothing but Trouble,Jacqueline Davies,https://www.goodreads.com/book/show/28446325-nothing-but-trouble
1068,The Ministry of S.U.I.T.S,Paul Gamble,https://www.goodreads.com/book/show/25226188-the-ministry-of-s-u-i-t-s
1069,"The Crooked Sixpence (The Uncommoners, #1)",Jennifer Bell,https://www.goodreads.com/book/show/19370891-the-crooked-sixpence
1070,Makoons,Louise Erdrich,https://www.goodreads.com/book/show/26115799-makoons
1071,"Clara Humble and the Not-So-Super Powers (Clara Humble, 1)",Anna Humphrey,https://www.goodreads.com/book/show/28256427-clara-humble-and-the-not-so-super-powers
1072,The Only Road,Alexandra  Diaz,https://www.goodreads.com/book/show/28954121-the-only-road
1073,The Ungrateful Dead,Rose Cooper,https://www.goodreads.com/book/show/28250851-the-ungrateful-dead
1074,"Jolly Foul Play (Murder Most Unladylike, #4)",Robin Stevens,https://www.goodreads.com/book/show/27030027-jolly-foul-play
1075,"The Changer’s Key (A Riddle in Ruby, #2)",Kent  Davis,https://www.goodreads.com/book/show/21839306-the-changer-s-key
1076,Dreambender,Ronald Kidd,https://www.goodreads.com/book/show/26722936-dreambender
1077,The Best Worst Thing,Kathleen Lane,https://www.goodreads.com/book/show/26875633-the-best-worst-thing
1078,Making Mistakes on Purpose (Ms. Rapscott's Girls #2),Elise Primavera,https://www.goodreads.com/book/show/28250928-making-mistakes-on-purpose
1079,Look Out for the Fitzgerald-Trouts,Esta Spalding,https://www.goodreads.com/book/show/25648162-look-out-for-the-fitzgerald-trouts
1080,Cinnamon Moon,Tess Hilmo,https://www.goodreads.com/book/show/27414405-cinnamon-moon
1081,Still a Work in Progress,Jo Knowles,https://www.goodreads.com/book/show/28814842-still-a-work-in-progress
1082,"Rebellion of Thieves (Robyn Hoodlum, #2)",Kekla Magoon,https://www.goodreads.com/book/show/28260434-rebellion-of-thieves
1083,Me and Miranda Mullaly,Jake Gerhardt,https://www.goodreads.com/book/show/25894020-me-and-miranda-mullaly
1084,The Lost Ones,Michaela MacColl,https://www.goodreads.com/book/show/28695533-the-lost-ones
1085,Hamstersaurus Rex,Tom  O'Donnell,https://www.goodreads.com/book/show/26761813-hamstersaurus-rex
1086,Strudel's Forever Home,Martha Freeman,https://www.goodreads.com/book/show/26598173-strudel-s-forever-home
1087,"Skunked (Calpurnia Tate, Girl Vet #1)",Jacqueline Kelly,https://www.goodreads.com/book/show/27779276-skunked
1088,Hundred Percent,Karen Romano Young,https://www.goodreads.com/book/show/28645644-hundred-percent
1089,The Dark Island,Scott Chantler,https://www.goodreads.com/book/show/27180889-the-dark-island
1090,Sticker Girl,Janet Tashjian,https://www.goodreads.com/book/show/27414421-sticker-girl
1091,"The Magician's Key (The Secrets of the Pied Piper, #2)",Matthew  Cody,https://www.goodreads.com/book/show/28813693-the-magician-s-key
1092,"The Great Shelby Holmes (The Great Shelby Holmes, #1)",Elizabeth Eulberg,https://www.goodreads.com/book/show/28260589-the-great-shelby-holmes
1093,The Battle for Urth (Legendtopia #1),Lee Bacon,https://www.goodreads.com/book/show/29092775-the-battle-for-urth
1094,The Courage Test,James Preller,https://www.goodreads.com/book/show/25761746-the-courage-test
1095,Wirewalker,Mary Lou Hall,https://www.goodreads.com/book/show/28186337-wirewalker
1096,"The White Widow's Revenge (Ferals, #3)",Jacob Grey,https://www.goodreads.com/book/show/28217749-the-white-widow-s-revenge
1097,The Capybara Conspiracy: A Novel in Three Acts,Erica S. Perl,https://www.goodreads.com/book/show/28587982-the-capybara-conspiracy
1098,Hidden Rock Rescue (Secrets of Bearhaven #3) (3),K.E. Rocha,https://www.goodreads.com/book/show/30254959-hidden-rock-rescue-secrets-of-bearhaven-3
1099,More Than Magic,Kathryn Lasky,https://www.goodreads.com/book/show/28439231-more-than-magic
1100,"The Seelie King's War (The Seelie Wars, #3)",Jane Yolen,https://www.goodreads.com/book/show/29093287-the-seelie-king-s-war
1101,"Showing Off (Upside-Down Magic, #3)",Sarah Mlynowski,https://www.goodreads.com/book/show/30254933-showing-off
1102,"Under Their Skin (Under Their Skin, #1)",Margaret Peterson Haddix,https://www.goodreads.com/book/show/25785792-under-their-skin
1103,Eleven and Holding,Mary Penney,https://www.goodreads.com/book/show/26795357-eleven-and-holding
1104,The Truly Terrible Mistake,Chrissie Perry,https://www.goodreads.com/book/show/29524098-the-truly-terrible-mistake
1105,"Enter a Glossy Web (Enter a Glossy Web, #1)",McKenna Ruebush,https://www.goodreads.com/book/show/23251733-enter-a-glossy-web
1106,"The Forgetting Machine (Flinkwater, #2)",Pete Hautman,https://www.goodreads.com/book/show/28954082-the-forgetting-machine
1107,How to (Almost) Ruin Your Summer,Taryn Souders,https://www.goodreads.com/book/show/27969107-how-to-almost-ruin-your-summer
1108,Falling Over Sideways,Jordan Sonnenblick,https://www.goodreads.com/book/show/28675749-falling-over-sideways
1109,"Jed and the Junkyard War (Jed and the Junkyard War, #1)",Steven Bohls,https://www.goodreads.com/book/show/29775943-jed-and-the-junkyard-war
1110,Truth or Dare,Barbara Dee,https://www.goodreads.com/book/show/28954094-truth-or-dare
1111,"The Thief's Apprentice (Master Diplexito and Mr. Scant, #1)",Bryan Methods,https://www.goodreads.com/book/show/25446312-the-thief-s-apprentice
1112,The Memory Thief,Bryce Moore,https://www.goodreads.com/book/show/23480882-the-memory-thief
1113,Forgetting Foster,Dianne Touchell,https://www.goodreads.com/book/show/28052321-forgetting-foster
1114,Uprooted: The Japanese American Experience During World War II,Albert Marrin,https://www.goodreads.com/book/show/28250900-uprooted
1115,"Home Sweet Motel (Welcome to Wonderland, #1)",Chris Grabenstein,https://www.goodreads.com/book/show/28502766-home-sweet-motel
1116,To Kick a Corpse: The Qwikpick Papers,Tom Angleberger,https://www.goodreads.com/book/show/26240651-to-kick-a-corpse
1117,Smashie McPerter and the Mystery of the Missing Goop,N. Griffin,https://www.goodreads.com/book/show/28814854-smashie-mcperter-and-the-mystery-of-the-missing-goop
1118,"Children of Exile (Children of Exile, #1)",Margaret Peterson Haddix,https://www.goodreads.com/book/show/27240552-children-of-exile
1119,"Into the Lion's Den (Devlin Quick Mysteries, #1)",Linda Fairstein,https://www.goodreads.com/book/show/30128298-into-the-lion-s-den
1120,"Troll Control (Gabby Duran, #2)",Elise Allen,https://www.goodreads.com/book/show/25691927-troll-control
1121,"Mistletoe and Murder (Murder Most Unladylike, #5)",Robin Stevens,https://www.goodreads.com/book/show/29979535-mistletoe-and-murder
1122,"The Sands of Shark Island (School Ship Tobermory, #2)",Alexander McCall Smith,https://www.goodreads.com/book/show/31815646-the-sands-of-shark-island
1123,Runs with Courage,Joan M. Wolf,https://www.goodreads.com/book/show/29005894-runs-with-courage
1124,"Gathering Voices (Guardians of the Wild, #3)",Kris Humphrey,https://www.goodreads.com/book/show/28635967-gathering-voices
1125,Just One Thing!,Nancy Viau,https://www.goodreads.com/book/show/29155280-just-one-thing
1126,Going Where It's Dark,Phyllis Reynolds Naylor,https://www.goodreads.com/book/show/25387131-going-where-it-s-dark
1127,The Bicycle Spy,Yona Zeldis McDonough,https://www.goodreads.com/book/show/29241315-the-bicycle-spy
1128,The Tundra Trials (Bounders #2),Monica Tesler,https://www.goodreads.com/book/show/23296195-the-tundra-trials
1129,"Camp Rolling Hills (Camp Rolling Hills, #1)",Stacy Davidowitz,https://www.goodreads.com/book/show/26240691-camp-rolling-hills
1130,"Alice Jones: The Impossible Clue (Alice Jones, #1)",Sarah Rubin,https://www.goodreads.com/book/show/28263303-alice-jones
1131,League of Archers (League of Archers #1),Eva Howard,https://www.goodreads.com/book/show/28954092-league-of-archers
1132,"Crossing Over (Camp Rolling Hills, #2)",Stacy Davidowitz,https://www.goodreads.com/book/show/26240625-crossing-over
1133,Monsterville: A Lissa Black Production,Sarah S. Reida,https://www.goodreads.com/book/show/28695330-monsterville
1134,"Brave (Berrybrook Middle School, #2)",Svetlana Chmakova,https://www.goodreads.com/book/show/30079697-brave
1135,Bittersweet,Winnie Mack,https://www.goodreads.com/book/show/26246741-bittersweet
1136,Under the Ashes,Cindy Rankin,https://www.goodreads.com/book/show/30201527-under-the-ashes
1137,Partners in Slime (Quinny & Hopper #2),Adriana Brad Schanen,https://www.goodreads.com/book/show/28963901-partners-in-slime
1138,The Enemy Above: A Novel of World War II,Michael P. Spradlin,https://www.goodreads.com/book/show/27882927-the-enemy-above
1139,"Steg-O-Normous (The Oodlethunks, Book 2)",Adele Griffin,https://www.goodreads.com/book/show/28691942-steg-o-normous
1140,The Other Side of Summer,Emily Gale,https://www.goodreads.com/book/show/28052519-the-other-side-of-summer
1141,Young Scrooge: A Very Scary Christmas Story,R.L. Stine,https://www.goodreads.com/book/show/27414460-young-scrooge
1142,William and the Witch's Riddle,Shutta Crum,https://www.goodreads.com/book/show/28250990-william-and-the-witch-s-riddle
1143,Sam the Man & the Chicken Plan,Frances O'Roark Dowell,https://www.goodreads.com/book/show/28954175-sam-the-man-the-chicken-plan
1144,Brave Like My Brother,Marc Tyler Nobleman,https://www.goodreads.com/book/show/26165479-brave-like-my-brother
1145,"The War Next Door (Storey Street, #3)",Phil Earle,https://www.goodreads.com/book/show/32304751-the-war-next-door
1146,Applesauce Weather,Helen Frost,https://www.goodreads.com/book/show/28588033-applesauce-weather
1147,Our House,T.S. Easton,https://www.goodreads.com/book/show/28932613-our-house
1148,The Road to Ever After,Moira Young,https://www.goodreads.com/book/show/29429171-the-road-to-ever-after
1149,Time to Shine (Our House #2),T.S. Easton,https://www.goodreads.com/book/show/30168118-time-to-shine
1150,Threads,Ami Polonsky,https://www.goodreads.com/book/show/28620390-threads
1151,The Christmasaurus,Tom    Fletcher,https://www.goodreads.com/book/show/29367333-the-christmasaurus
1152,Finding Wonders: Three Girls Who Changed Science,Jeannine Atkins,https://www.goodreads.com/book/show/28954042-finding-wonders
1153,Erica's Elephant,Sylvia Bishop,https://www.goodreads.com/book/show/29543381-erica-s-elephant
1154,The Wolf Keepers,Elise Broach,https://www.goodreads.com/book/show/27414417-the-wolf-keepers
1155,Catching a Storyfish,Janice N. Harrington,https://www.goodreads.com/book/show/28695553-catching-a-storyfish
1156,Varmints,Andy Hirsch,https://www.goodreads.com/book/show/25027693-varmints
1157,"The Girl Who Saved Christmas (Christmas, #2)",Matt Haig,https://www.goodreads.com/book/show/30250405-the-girl-who-saved-christmas
1158,A Library of Lemons,Jo Cotterill,https://www.goodreads.com/book/show/29340342-a-library-of-lemons
1159,Kyle Finds Her Way,Susie Salom,https://www.goodreads.com/book/show/25488352-kyle-finds-her-way
1160,Graveyard Slot (The Kat Sinclair Files #2),Michelle Schusterman,https://www.goodreads.com/book/show/28186310-graveyard-slot
1161,Kaitlyn and the Competition,D.L. Green,https://www.goodreads.com/book/show/26336810-kaitlyn-and-the-competition
1162,Out of Tune,Gail Nall,https://www.goodreads.com/book/show/25855604-out-of-tune
1163,Dragonfly Song (Minoan Wings #1),Wendy Orr,https://www.goodreads.com/book/show/29866071-dragonfly-song
1164,There May Be a Castle,Piers Torday,https://www.goodreads.com/book/show/30528383-there-may-be-a-castle
1165,"Louie Lets Loose! (Unicorn in New York, #1)",Rachel      Hamilton,https://www.goodreads.com/book/show/28596713-louie-lets-loose
1166,The Beginning Woods,Malcolm  McNeill,https://www.goodreads.com/book/show/30795484-the-beginning-woods
1167,Little Shaq Takes a Chance,Shaquille O'Neal,https://www.goodreads.com/book/show/25663555-little-shaq-takes-a-chance
1168,Strange Star,Emma Carroll,https://www.goodreads.com/book/show/29361204-strange-star
1169,The Bubble Boy,Stewart Foster,https://www.goodreads.com/book/show/28217011-the-bubble-boy
1170,The Midnight Gang,David Walliams,https://www.goodreads.com/book/show/30317562-the-midnight-gang
1171,Miraculous Miranda,Siobhán Parkinson,https://www.goodreads.com/book/show/31135521-miraculous-miranda
1172,Juana & Lucas,Juana Medina,https://www.goodreads.com/book/show/28686882-juana-lucas
1173,Escape to the Moon Islands (Quest of the Sunfish #1),Mardi McConnochie,https://www.goodreads.com/book/show/30322581-escape-to-the-moon-islands
1174,Everyday Hero,Kathleen Cherry,https://www.goodreads.com/book/show/26586441-everyday-hero
