,rank,title,author,publisher,date,amazon links
0,1,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"June 4, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
1,2,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"June 4, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
2,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"June 4, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"June 4, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
4,5,THE CRAYONS GO BACK TO SCHOOL,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"June 4, 2023",https://www.amazon.com/dp/0593621115?tag=NYTBSREV-20
5,6,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","June 4, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
6,7,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"June 4, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
7,8,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"June 4, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/152478589X?tag=NYTBSREV-20
8,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"June 4, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
9,10,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,"June 4, 2023",https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
10,1,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,"May 28, 2023",https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
11,2,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 28, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
12,3,WHY A SON NEEDS A MOM,by Gregory E. Lang. Illustrated by Gail Yerrill,Sourcebooks Wonderland,"May 28, 2023",https://www.amazon.com/dp/1728235847?tag=NYTBSREV-20
13,4,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 28, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
14,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 28, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
15,6,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 28, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
16,7,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 28, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
17,8,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 28, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
18,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 28, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
19,10,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 28, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
20,1,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 21, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
21,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 21, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
22,3,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 21, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
23,4,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 21, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
24,5,LITTLE TROUBLEMAKER MAKES A MESS,by Luvvie Ajayi Jones. Illustrated by Joey Spiotto,Philomel,"May 21, 2023",https://www.amazon.com/dp/0593526090?tag=NYTBSREV-20
25,6,WHY A SON NEEDS A MOM,by Gregory E. Lang. Illustrated by Gail Yerrill,Sourcebooks Wonderland,"May 21, 2023",https://www.amazon.com/dp/1728235847?tag=NYTBSREV-20
26,7,REPEAT AFTER ME,by Jazmyn Simon and Dulé Hill. Illustrated by Shamar Knight-Justice,Random House,"May 21, 2023",https://www.amazon.com/dp/0593426975?tag=NYTBSREV-20
27,8,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 21, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
28,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 21, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
29,10,BIG,by Vashti Harrison,"Little, Brown","May 21, 2023",https://www.amazon.com/dp/0316353221?tag=NYTBSREV-20
30,1,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 14, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
31,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 14, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
32,3,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 14, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
33,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 14, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
34,5,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 14, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
35,6,DOLLY PARTON'S BILLY THE KID MAKES IT BIG,by Dolly Parton with Erica S. Perl. Illustrated by MacKenzie Haley,Penguin Workshop,"May 14, 2023",https://www.amazon.com/dp/0593661575?tag=NYTBSREV-20
36,7,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 14, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
37,8,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 14, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
38,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"May 14, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
39,10,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 14, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
40,1,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 7, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
41,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 7, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
42,3,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 7, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
43,4,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"May 7, 2023",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
44,5,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 7, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
45,6,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 7, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
46,7,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"May 7, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
47,8,"GOOD NIGHT, LITTLE BLUE TRUCK",by Alice Schertle and Jill McElmurry,Clarion,"May 7, 2023",https://www.amazon.com/Good-Night-Little-Blue-Truck/dp/132885213X?tag=NYTBSREV-20
48,9,GRUMPY MONKEY,by Suzanne Lang. Illustrated by Max Lang,Random House,"May 7, 2023",https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865?tag=NYTBSREV-20
49,10,THE SMART COOKIE,by Jory John. Illustrated by Pete Oswald,Harper,"May 7, 2023",https://www.amazon.com/dp/0063045400?tag=NYTBSREV-20
50,1,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 30, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
51,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 30, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
52,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 30, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
53,4,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","April 30, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
54,5,LITTLE DAYMOND LEARNS TO EARN,by Daymond John. Illustrated by Nicole Miles,Random House,"April 30, 2023",https://www.amazon.com/dp/0593567277?tag=NYTBSREV-20
55,6,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"April 30, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
56,7,THE BAD SEED,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 30, 2023",https://www.amazon.com/Bad-Seed-Jory-John/dp/006246776X?tag=NYTBSREV-20
57,8,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"April 30, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
58,9,"GOOD NIGHT, LITTLE BLUE TRUCK",by Alice Schertle and Jill McElmurry,Clarion,"April 30, 2023",https://www.amazon.com/Good-Night-Little-Blue-Truck/dp/132885213X?tag=NYTBSREV-20
59,10,GRUMPY MONKEY,by Suzanne Lang. Illustrated by Max Lang,Random House,"April 30, 2023",https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865?tag=NYTBSREV-20
60,1,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"April 23, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
61,2,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"April 23, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
62,3,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 23, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
63,4,HAPPY EASTER FROM THE CRAYONS,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 23, 2023",https://www.amazon.com/dp/0593621050?tag=NYTBSREV-20
64,5,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 23, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
65,6,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","April 23, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
66,7,I LOVE YOU MORE THAN YOU'LL EVER KNOW,by Leslie Odom Jr. and Nicolette Robinson. Illustrated by Joy Hwang Ruiz,Feiwel & Friends,"April 23, 2023",https://www.amazon.com/dp/1250265649?tag=NYTBSREV-20
67,8,LITTLE BLUE TRUCK MAKES A FRIEND,by Alice Schertle and Jill McElmurry,Clarion,"April 23, 2023",https://www.amazon.com/dp/0358722829?tag=NYTBSREV-20
68,9,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 23, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
69,10,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 23, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
70,1,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"April 16, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
71,2,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"April 16, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
72,3,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 16, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
73,4,WE DON'T LOSE OUR CLASS GOLDFISH,by Ryan T. Higgins,Disney Hyperion,"April 16, 2023",https://www.amazon.com/dp/136807698X?tag=NYTBSREV-20
74,5,HAPPY EASTER FROM THE CRAYONS,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 16, 2023",https://www.amazon.com/dp/0593621050?tag=NYTBSREV-20
75,6,LITTLE DAYMOND LEARNS TO EARN,by Daymond John. Illustrated by Nicole Miles,Random House,"April 16, 2023",https://www.amazon.com/dp/0593567277?tag=NYTBSREV-20
76,7,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 16, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
77,8,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 16, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
78,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 16, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
79,10,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"April 16, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
80,1,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"April 9, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
81,2,LITTLE DAYMOND LEARNS TO EARN,by Daymond John. Illustrated by Nicole Miles,Random House,"April 9, 2023",https://www.amazon.com/dp/0593567277?tag=NYTBSREV-20
82,3,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"April 9, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
83,4,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 9, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
84,5,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 9, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
85,6,HAPPY EASTER FROM THE CRAYONS,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 9, 2023",https://www.amazon.com/dp/0593621050?tag=NYTBSREV-20
86,7,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 9, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
87,8,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 9, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
88,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"April 9, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
89,10,THE SOUR GRAPE,by Jory John and Pete Oswald,HarperCollins,"April 9, 2023",https://www.amazon.com/dp/0063045419?tag=NYTBSREV-20
90,1,HOW TO CATCH A LEPRECHAUN,by Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Jabberwocky,"April 2, 2023",http://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?tag=NYTBSREV-20
91,2,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"April 2, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
92,3,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"April 2, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
93,4,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 2, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
94,5,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 2, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
95,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 2, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
96,7,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,by James Dean,HarperCollins,"April 2, 2023",https://www.amazon.com/Pete-Cat-Leprechaun-Patricks-Fold-Out/dp/0062404504?tag=NYTBSREV-20
97,8,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 2, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
98,9,"GOOD NIGHT, LITTLE BLUE TRUCK",by Alice Schertle and Jill McElmurry,Clarion,"April 2, 2023",https://www.amazon.com/Good-Night-Little-Blue-Truck/dp/132885213X?tag=NYTBSREV-20
99,10,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"April 2, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
100,1,HOW TO CATCH A LEPRECHAUN,by Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Jabberwocky,"March 26, 2023",http://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?tag=NYTBSREV-20
101,2,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"March 26, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
102,3,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,by James Dean,HarperCollins,"March 26, 2023",https://www.amazon.com/Pete-Cat-Leprechaun-Patricks-Fold-Out/dp/0062404504?tag=NYTBSREV-20
103,4,HOT DOG,by Doug Salati,Knopf,"March 26, 2023",https://www.amazon.com/dp/0593308433?tag=NYTBSREV-20
104,5,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"March 26, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
105,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"March 26, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
106,7,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"March 26, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
107,8,"WHEN THINGS AREN’T GOING RIGHT, GO LEFT",by Marc Colagiovanni. Illustrated by Peter H. Reynolds,Orchard,"March 26, 2023",https://www.amazon.com/dp/1338831186?tag=NYTBSREV-20
108,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 26, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
109,10,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"March 26, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
110,1,HOW TO CATCH A LEPRECHAUN,by Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Jabberwocky,"March 19, 2023",http://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?tag=NYTBSREV-20
111,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"March 19, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
112,3,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"March 19, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
113,4,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,by James Dean,HarperCollins,"March 19, 2023",https://www.amazon.com/Pete-Cat-Leprechaun-Patricks-Fold-Out/dp/0062404504?tag=NYTBSREV-20
114,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"March 19, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
115,6,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 19, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
116,7,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"March 19, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
117,8,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"March 19, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
118,9,HOT DOG,by Doug Salati,Knopf,"March 19, 2023",https://www.amazon.com/dp/0593308433?tag=NYTBSREV-20
119,10,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"March 19, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
120,1,HOW TO CATCH A LEPRECHAUN,by Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Jabberwocky,"March 12, 2023",http://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?tag=NYTBSREV-20
121,2,LOVE FROM THE CRAYONS,by Drew Daywalt and Oliver Jeffers,Penguin Workshop,"March 12, 2023",https://www.amazon.com/Love-Crayons-Drew-Daywalt/dp/1524792683?tag=NYTBSREV-20
122,3,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"March 12, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
123,4,PETE THE CAT: BIG EASTER ADVENTURE,by James Dean and Kimberly Dean,HarperFestival,"March 12, 2023",https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?tag=NYTBSREV-20
124,5,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,by Jory John. Illustrated by Pete Oswald,HarperCollins,"March 12, 2023",https://www.amazon.com/dp/0062975676?tag=NYTBSREV-20
125,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"March 12, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
126,7,HOW TO CATCH THE EASTER BUNNY,by Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,"March 12, 2023",https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X?tag=NYTBSREV-20
127,8,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,by James Dean,HarperCollins,"March 12, 2023",https://www.amazon.com/Pete-Cat-Leprechaun-Patricks-Fold-Out/dp/0062404504?tag=NYTBSREV-20
128,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 12, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
129,10,"WHEN I TALK TO GOD, I TALK ABOUT YOU",by Chrissy Metz and Bradley Collins. Illustrated by Lisa Fields,Flamingo,"March 12, 2023",https://www.amazon.com/dp/0593525248?tag=NYTBSREV-20
130,1,LITTLE BLUE TRUCK'S VALENTINE,by Alice Schertle. Illustrated by Jill McElmurry,Clarion,"March 5, 2023",https://www.amazon.com/dp/0358272440?tag=NYTBSREV-20
131,2,LOVE FROM THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"March 5, 2023",http://www.amazon.com/Love-The-Very-Hungry-Caterpillar/dp/0448489325?tag=NYTBSREV-20
132,3,HOW TO CATCH A LOVEOSAURUS,by Alice Walstead. Illustrated by Andy Elkerton,Sourcebooks Wonderland,"March 5, 2023",https://www.amazon.com/dp/1728268788?tag=NYTBSREV-20
133,4,LOVE FROM THE CRAYONS,by Drew Daywalt and Oliver Jeffers,Penguin Workshop,"March 5, 2023",https://www.amazon.com/Love-Crayons-Drew-Daywalt/dp/1524792683?tag=NYTBSREV-20
