,rank,title,author,publisher,date,amazon links
3339,10,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"October 9, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3340,1,"ADA TWIST, SCIENTIST",by Andrea Beaty. Illustrated by David Roberts,Abrams,"October 2, 2016",http://www.amazon.com/Ada-Twist-Scientist-Andrea-Beaty/dp/1419721372?tag=NYTBSREV-20
3341,2,THE BILL THE CAT STORY,by Berkeley Breathed,Philomel,"October 2, 2016",http://www.amazon.com/Bill-Cat-Story-Bloom-County/dp/0399546626?tag=NYTBSREV-20
3342,3,"LLAMA, LLAMA RED PAJAMA",by Anna Dewdney,Viking,"October 2, 2016",http://www.amazon.com/Llama-Red-Pajama-Anna-Dewdney/dp/0670059838?tag=NYTBSREV-20
3343,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"October 2, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3344,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"October 2, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3345,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"October 2, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3346,7,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"October 2, 2016",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
3347,8,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"October 2, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3348,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"October 2, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3349,10,THE THANK YOU BOOK,by Mo Willems,Hyperion,"October 2, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3350,1,"ADA TWIST, SCIENTIST",by Andrea Beaty. Illustrated by David Roberts,Abrams,"September 25, 2016",http://www.amazon.com/Ada-Twist-Scientist-Andrea-Beaty/dp/1419721372?tag=NYTBSREV-20
3351,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"September 25, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3352,3,I AM JANE GOODALL,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"September 25, 2016",http://www.amazon.com/Goodall-Ordinary-People-Change-World/dp/0525428496?tag=NYTBSREV-20
3353,4,I AM GEORGE WASHINGTON,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"September 25, 2016",http://www.amazon.com/George-Washington-Ordinary-People-Change/dp/0525428488?tag=NYTBSREV-20
3354,5,A CHILD OF BOOKS,by Oliver Jeffers and Sam Winston,Candlewick,"September 25, 2016",http://www.amazon.com/Child-Books-Oliver-Jeffers/dp/0763690775?tag=NYTBSREV-20
3355,6,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"September 25, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
